condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,blur_sigma,layer,internal_frame_index,instantaneous_prediction_error_rms,dynamic_error_rms,clean_instantaneous_prediction_error_rms,clean_dynamic_error_rms,representation_normalized_l2
feedforward,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,0.0,1,1,0.26095305163545546,0.054017282288250264,0.26095305163545546,0.054017282288250264,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,0.0,2,1,0.5497044569873639,0.1137888238353909,0.5497044569873639,0.1137888238353909,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,0.0,3,1,1.6999532170681262,0.3518903198008773,1.6999532170681262,0.3518903198008773,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,0.0,4,1,2.6827646046180065,0.5553322791778893,2.6827646046180065,0.5553322791778893,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,0.0,5,1,1.1802025139818222,0.2443019230233281,1.1802025139818222,0.2443019230233281,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,0.0,1,1,0.25808760555695276,0.05342413495336589,0.25808760555695276,0.05342413495336589,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,0.0,2,1,0.541375307732409,0.1120646899170852,0.541375307732409,0.1120646899170852,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,0.0,3,1,1.6857920816785044,0.3489589647406844,1.6857920816785044,0.3489589647406844,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,0.0,4,1,2.6650042236309432,0.5516558803486018,2.6650042236309432,0.5516558803486018,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,0.0,5,1,1.173624370354943,0.24294024725830965,1.173624370354943,0.24294024725830965,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,0.0,1,1,0.2537509099543391,0.05252643893644316,0.2537509099543391,0.05252643893644316,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,0.0,2,1,0.5276132351817937,0.10921594087421171,0.5276132351817937,0.10921594087421171,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,0.0,3,1,1.649292460785579,0.3414035432021222,1.649292460785579,0.3414035432021222,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,0.0,4,1,2.649558684506443,0.5484586537311328,2.649558684506443,0.5484586537311328,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,0.0,5,1,1.1795186961321882,0.2441603727633438,1.1795186961321882,0.2441603727633438,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,0.0,1,1,0.25227837913861617,0.05222162506835973,0.25227837913861617,0.05222162506835973,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,0.0,2,1,0.5271178334522273,0.10911339272581148,0.5271178334522273,0.10911339272581148,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,0.0,3,1,1.629220140220864,0.3372485727286041,1.629220140220864,0.3372485727286041,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,0.0,4,1,2.6494729006849016,0.5484408963987801,2.6494729006849016,0.5484408963987801,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,0.0,5,1,1.1460644007898342,0.23723533354884105,1.1460644007898342,0.23723533354884105,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,0.0,1,1,0.2510476266844038,0.051966859313018594,0.2510476266844038,0.051966859313018594,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,0.0,2,1,0.523335986531845,0.10833055039039655,0.523335986531845,0.10833055039039655,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,0.0,3,1,1.610698700781717,0.3334146347248998,1.610698700781717,0.3334146347248998,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,0.0,4,1,2.5966301703423573,0.5375024510318216,2.5966301703423573,0.5375024510318216,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,0.0,5,1,1.1844845800155173,0.24518831076351952,1.1844845800155173,0.24518831076351952,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,0.0,1,1,0.2492728495982631,0.051599480450404564,0.2492728495982631,0.051599480450404564,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,0.0,2,1,0.521910679261707,0.10803551179840917,0.521910679261707,0.10803551179840917,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,0.0,3,1,1.6131502377154392,0.33392210284367435,1.6131502377154392,0.33392210284367435,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,0.0,4,1,2.63814817113672,0.5460966774678385,2.63814817113672,0.5460966774678385,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,0.0,5,1,1.2251134032312838,0.2535984772316733,1.2251134032312838,0.2535984772316733,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,0.0,1,1,0.2495246411374285,0.05165160129072687,0.2495246411374285,0.05165160129072687,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,0.0,2,1,0.5161043518505547,0.10683360201415555,0.5161043518505547,0.10683360201415555,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,0.0,3,1,1.604805408797664,0.33219472320322785,1.604805408797664,0.33219472320322785,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,0.0,4,1,2.6486671169333738,0.5482740992332092,2.6486671169333738,0.5482740992332092,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,0.0,5,1,1.2206199730221077,0.25266833717484727,1.2206199730221077,0.25266833717484727,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,0.0,1,1,0.2480637649937503,0.05134919992347542,0.2480637649937503,0.05134919992347542,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,0.0,2,1,0.5131226660027742,0.10621639302773463,0.5131226660027742,0.10621639302773463,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,0.0,3,1,1.5876386831841378,0.3286412110299299,1.5876386831841378,0.3286412110299299,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,0.0,4,1,2.5967320981498996,0.5375235500840553,2.5967320981498996,0.5375235500840553,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,0.0,5,1,1.209140098831782,0.2502920033570848,1.209140098831782,0.2502920033570848,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,0.0,1,1,0.24969484244434004,0.05168683296404303,0.24969484244434004,0.05168683296404303,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,0.0,2,1,0.5083222135232428,0.10522269935372917,0.5083222135232428,0.10522269935372917,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,0.0,3,1,1.5778901191055652,0.3266232582313375,1.5778901191055652,0.3266232582313375,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,0.0,4,1,2.6253166516924376,0.5434405528070957,2.6253166516924376,0.5434405528070957,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,0.0,5,1,1.2138229401004472,0.2512613515112921,1.2138229401004472,0.2512613515112921,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,0.0,1,1,0.24878990633226705,0.05149951117640362,0.24878990633226705,0.05149951117640362,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,0.0,2,1,0.5066905277896889,0.10488494040830078,0.5066905277896889,0.10488494040830078,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,0.0,3,1,1.5898248228261467,0.32909374194752816,1.5898248228261467,0.32909374194752816,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,0.0,4,1,2.6331691922010947,0.5450660287938459,2.6331691922010947,0.5450660287938459,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,0.0,5,1,1.2630414788599815,0.2614495889263443,1.2630414788599815,0.2614495889263443,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,0.0,1,1,0.24807556786545595,0.05135164312554004,0.24807556786545595,0.05135164312554004,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,0.0,2,1,0.5015651251008435,0.10382398203945081,0.5015651251008435,0.10382398203945081,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,0.0,3,1,1.5782939321526377,0.32670684755297646,1.5782939321526377,0.32670684755297646,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,0.0,4,1,2.593965811776246,0.536950928983374,2.593965811776246,0.536950928983374,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,0.0,5,1,1.2428755882392255,0.25727524962467485,1.2428755882392255,0.25727524962467485,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,0.0,1,1,0.25187924665664174,0.05213900464708376,0.25187924665664174,0.05213900464708376,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,0.0,2,1,0.49921666068283416,0.10333784989761884,0.49921666068283416,0.10333784989761884,0.0
