model,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,representation_normalized_l2
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,3,0.0
