drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,persistence_score,forward_mae_m,yaw_mae_rad,mean_future_blur_sigma,clean_persistence_score,persistence_score_excess_over_clean,clean_forward_mae_m,clean_yaw_mae_rad,forward_mae_degradation_m,yaw_mae_degradation_rad
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,3,24,32,-0.17909838585183024,0.1535075418651104,0.005398012814112008,1.6875,-0.17478450015187263,-0.004313885699957609,0.1292802132666111,0.01825385307893157,0.024227328598499298,-0.012855840264819562
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,4,32,40,-0.23447157116606832,0.14690250158309937,0.011218914529308677,2.53125,-0.1690838821232319,-0.06538768904283643,0.14052680879831314,0.004918642807751894,0.006375692784786224,0.006300271721556783
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,5,40,48,-0.38466576486825943,0.15530790016055107,0.014556158450432122,1.78125,-0.0985110211186111,-0.28615474374964833,0.181673776358366,0.0033321091905236244,-0.02636587619781494,0.011224049259908497
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,6,48,56,-0.35247807018458843,0.13446835055947304,0.01797640696167946,1.96875,-0.032826286857016385,-0.31965178332757205,0.1641913540661335,0.008697280660271645,-0.02972300350666046,0.009279126301407814
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,7,56,64,-0.3978947848081589,0.09358074143528938,0.02395348367281258,1.6875,-0.08953315985854715,-0.3083616249496117,0.09383781626820564,0.018893282511271536,-0.00025707483291625977,0.005060201161541045
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,8,64,72,-0.5280818343162537,0.03409988433122635,0.02639264496974647,1.5,-0.10838320106267929,-0.41969863325357437,0.05127889662981033,0.02825573179870844,-0.017179012298583984,-0.0018630868289619684
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,9,72,80,-0.284046052955091,0.01484382152557373,0.026385625824332237,1.875,-0.10606945911422372,-0.17797659384086728,0.03941194713115692,0.03711269982159138,-0.02456812560558319,-0.01072707399725914
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,0,0,8,-0.19715200178325176,0.5788799747824669,0.005757462291512638,0.75,-0.17645599506795406,-0.0206960067152977,0.583598904311657,0.010932362638413906,-0.0047189295291900635,-0.005174900346901268
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,1,8,16,-0.20777995698153973,0.5574296861886978,0.004991539812181145,0.75,-0.21284704003483057,0.005067083053290844,0.563225269317627,0.010162511258386075,-0.005795583128929138,-0.0051709714462049305
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,2,16,24,-0.167149281129241,0.5190137475728989,0.002691121626412496,1.125,-0.1450523491948843,-0.02209693193435669,0.5247536897659302,0.008225501398555934,-0.005739942193031311,-0.0055343797721434385
