condition,split,drive,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,horizon_frames,horizon_seconds,bootstrap_without_history,feature_mse,copy_mse,prediction_base_mse,residual_mse,feature_cosine,normalized_feature_error,predicted_residual_rms,target_residual_rms,warp_coverage_fraction,warp_collision_fraction
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,10,10,11,0000000010.png,0000000011.png,1,0.1035,True,0.08186785876750946,0.08186785876750946,0.08186785876750946,0.08186785876750946,0.8153285980224609,0.5951710939407349,0.0,0.28612559963678447,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,11,11,12,0000000011.png,0000000012.png,1,0.1035,True,0.07066186517477036,0.07066186517477036,0.07066186517477036,0.07066186517477036,0.8430913090705872,0.5690328478813171,0.0,0.26582299594799985,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,12,12,13,0000000012.png,0000000013.png,1,0.1035,True,0.07631371170282364,0.07631371170282364,0.07631371170282364,0.07631371170282364,0.8314181566238403,0.5720246434211731,0.0,0.2762493650722543,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,13,13,14,0000000013.png,0000000014.png,1,0.1035,True,0.07405053824186325,0.07405053824186325,0.07405053824186325,0.07405053824186325,0.8536131381988525,0.5273694396018982,0.0,0.2721222854561222,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,14,14,15,0000000014.png,0000000015.png,1,0.1035,True,0.09168550372123718,0.09168550372123718,0.09168550372123718,0.09168550372123718,0.8247156739234924,0.5980187654495239,0.0,0.30279614218354434,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,15,15,16,0000000015.png,0000000016.png,1,0.1035,True,0.08866777271032333,0.08866777271032333,0.08866777271032333,0.08866777271032333,0.8369476795196533,0.5589151978492737,0.0,0.2977713429971449,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,16,16,17,0000000016.png,0000000017.png,1,0.1035,True,0.10221537202596664,0.10221537202596664,0.10221537202596664,0.10221537202596664,0.8194878697395325,0.601621150970459,0.0,0.31971138863976467,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,17,17,18,0000000017.png,0000000018.png,1,0.1035,True,0.07831722497940063,0.07831722497940063,0.07831722497940063,0.07831722497940063,0.8606747388839722,0.5291792750358582,0.0,0.2798521484273448,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,18,18,19,0000000018.png,0000000019.png,1,0.1035,True,0.1017996147274971,0.1017996147274971,0.1017996147274971,0.1017996147274971,0.8345209360122681,0.5584612488746643,0.0,0.31906051891059334,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,19,19,20,0000000019.png,0000000020.png,1,0.1035,True,0.11862939596176147,0.11862939596176147,0.11862939596176147,0.11862939596176147,0.8203117251396179,0.5963174700737,0.0,0.3444261836181469,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,20,20,21,0000000020.png,0000000021.png,1,0.1035,True,0.09178938716650009,0.09178938716650009,0.09178938716650009,0.09178938716650009,0.8576944470405579,0.5455282926559448,0.0,0.3029676338596255,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,21,21,22,0000000021.png,0000000022.png,1,0.1035,True,0.11077208817005157,0.11077208817005157,0.11077208817005157,0.11077208817005157,0.8394111394882202,0.5488419532775879,0.0,0.3328244104179433,,
copy_current,train,2011_09_26/2011_09_26_drive_0005_sync,22,22,23,0000000022.png,0000000023.png,1,0.1035,True,0.10159407556056976,0.10159407556056976,0.10159407556056976,0.10159407556056976,0.8538721203804016,0.5669243335723877,0.0,0.31873825556492236,,
