method,causal,split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,radius_cells,radius_input_pixels,patch_size,copy_mse,result_mse,copy_minus_result_mse,copy_minus_result_over_copy,matching_patch_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,coverage_fraction,collision_fraction
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,5,0000000001.png,0000000002.png,0000000005.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.2087169736623764,0.08809910714626312,0.12061786651611328,0.5779015421867371,0.08809910714626312,0.8724489808082581,1.253881573677063,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,6,0000000002.png,0000000003.png,0000000006.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.1635478287935257,0.08729852735996246,0.07624930143356323,0.4662202000617981,0.08729852735996246,0.8571428656578064,1.2472124099731445,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,7,0000000003.png,0000000004.png,0000000007.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.13099807500839233,0.0761990025639534,0.054799072444438934,0.4183196723461151,0.0761990025639534,0.8469387292861938,1.110650658607483,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,4,0000000000.png,0000000001.png,0000000004.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.23621433973312378,0.1258833110332489,0.11033102869987488,0.46708014607429504,0.116100013256073,0.8010203838348389,1.1858664751052856,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,5,0000000001.png,0000000002.png,0000000005.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.2087169736623764,0.09847517311573029,0.11024180054664612,0.5281879901885986,0.09331078082323074,0.8316326141357422,1.2080574035644531,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,6,0000000002.png,0000000003.png,0000000006.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.1635478287935257,0.09583167731761932,0.06771615147590637,0.41404494643211365,0.0877755880355835,0.7755101919174194,1.1066412925720215,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,7,0000000003.png,0000000004.png,0000000007.png,stage5,512,14,14,16,3,0.3105,2,32,3,0.13099807500839233,0.09325885772705078,0.03773921728134155,0.2880898714065552,0.07672858983278275,0.7040815949440002,0.8827312588691711,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,6,0000000004.png,0000000005.png,0000000006.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.06177647039294243,0.056134846061468124,0.005641624331474304,0.09132318943738937,0.056134846061468124,0.357142835855484,0.3613695204257965,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,7,0000000005.png,0000000006.png,0000000007.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.058571308851242065,0.05227310582995415,0.006298203021287918,0.10753051191568375,0.05227310582995415,0.3214285671710968,0.32776859402656555,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,8,0000000006.png,0000000007.png,0000000008.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.0736858993768692,0.07041648775339127,0.003269411623477936,0.044369570910930634,0.07041648775339127,0.23979590833187103,0.2545892596244812,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,9,0000000007.png,0000000008.png,0000000009.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.08167184889316559,0.07246052473783493,0.009211324155330658,0.11278456449508667,0.07246052473783493,0.38265305757522583,0.3889930844306946,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,6,0000000004.png,0000000005.png,0000000006.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.06177647039294243,0.05831282213330269,0.00346364825963974,0.056067436933517456,0.05259505659341812,0.2142857164144516,0.2142857164144516,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,7,0000000005.png,0000000006.png,0000000007.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.058571308851242065,0.05599408224225044,0.002577226608991623,0.04400151968002319,0.04843730852007866,0.2551020383834839,0.2551020383834839,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,8,0000000006.png,0000000007.png,0000000008.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.0736858993768692,0.07261588424444199,0.0010700151324272156,0.014521300792694092,0.06154593452811241,0.12244898080825806,0.12244898080825806,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,7,7,8,9,0000000007.png,0000000008.png,0000000009.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.08167184889316559,0.07643484324216843,0.005237005650997162,0.0641225278377533,0.06771301478147507,0.22959183156490326,0.22959183156490326,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,4,4,5,6,0000000004.png,0000000005.png,0000000006.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.06177647039294243,0.05585600435733795,0.005920466035604477,0.09583690762519836,0.05585600435733795,0.37244898080825806,0.44329771399497986,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,5,5,6,7,0000000005.png,0000000006.png,0000000007.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.058571308851242065,0.05164237692952156,0.006928931921720505,0.11829908192157745,0.05164237692952156,0.3316326439380646,0.41090115904808044,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,6,6,7,8,0000000006.png,0000000007.png,0000000008.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.0736858993768692,0.07028648257255554,0.0033994168043136597,0.04613388329744339,0.07028649002313614,0.2448979616165161,0.29687198996543884,1.0,0.0
