drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_blur_sigma,mean_absolute_sigma_change,prediction_error_l2,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,4,32,40,1,2.25,0.0,68.35172271728516,67.0489877467889,-0.12291971931699663,0.040914170909672976
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,5,40,48,1,3.0,0.09375,57.44929313659668,62.456140170482314,-0.04052737297024578,0.03748616576194763
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,6,48,56,1,3.0,0.0,62.235907554626465,59.841343358107444,-0.047051943838596344,0.03134995885193348
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,7,56,64,1,1.875,0.28125,75.96877336502075,68.92818138580427,-0.06815180159173906,0.045884510735049844
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,8,64,72,1,0.75,0.0,66.1405520439148,72.0754812669604,-0.04852136131376028,0.05569962738081813
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,9,72,80,1,0.75,0.0,53.950082778930664,58.165865446213736,-0.16680262400768697,0.02927548484876752
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,0,0,8,1,2.25,0.28125,80.8736925125122,89.80377139445797,-0.15240616258233786,0.09289919212460518
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,1,8,16,1,2.25,0.0,76.27026176452637,75.91921312544186,-0.1840808077249676,0.04891090700402856
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,2,16,24,1,2.625,0.09375,58.77421569824219,65.63978606562827,-0.13264908734709024,0.04145484557375312
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,3,24,32,1,3.0,0.0,61.65620517730713,61.624048926170346,-0.09075366309843957,0.034030338283628225
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,4,32,40,1,3.0,0.0,66.67894554138184,64.57197894477568,-0.11422149662394077,0.03801584988832474
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,5,40,48,1,0.75,0.28125,83.66084861755371,79.38749472272615,-0.12994698015972972,0.06854715198278427
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,6,48,56,1,0.75,0.0,78.62119960784912,76.94638079586798,-0.11838212702423334,0.05277941841632128
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,7,56,64,1,1.125,0.09375,78.95263290405273,80.81464170788654,-0.08150418428704143,0.061591665260493755
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,8,64,72,1,1.5,0.0,54.838491439819336,63.62440421996156,-0.040080564096570015,0.039515296928584576
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,2,9,72,80,1,1.5,0.0,47.355289936065674,50.321264113570315,-0.18641029484570026,0.020976549247279763
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,0,0,8,1,3.0,0.375,76.97437858581543,87.59679432459849,-0.16219876427203417,0.09135868586599827
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,1,8,16,1,3.0,0.0,73.03277587890625,72.55685781068989,-0.17873125430196524,0.043798652943223715
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,2,16,24,1,1.875,0.28125,70.91423273086548,70.13479421843859,-0.10406325105577707,0.048606401309370995
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,3,24,32,1,0.75,0.0,76.89546012878418,76.7449063206365,-0.129588158801198,0.05961395567283034
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,4,32,40,1,0.75,0.0,78.50358009338379,76.680459089562,-0.15125898737460375,0.05300150020048022
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,5,40,48,1,1.5,0.09375,69.93889904022217,74.73785608197778,-0.11068557819817215,0.054603025782853365
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,3,6,48,56,1,1.5,0.0,72.13538122177124,70.84746686836672,-0.08899561114958487,0.044322042260318995
