condition,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,next_frame_prediction_mse,representation_normalized_l2
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,5,1.379173143838309,0.9128281809659015,2.003335952758789,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,1,0.7685417464882386,0.30912434122859533,0.6022517681121826,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,2,1.3193331721425567,0.48249232994855856,1.7223557233810425,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,3,2.3605006321045687,0.941831041791067,5.617796421051025,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,4,3.1198118571309843,1.5415909597205488,9.577667236328125,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,5,1.4153924800194329,0.9396791073514206,2.0407445430755615,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,1,0.7760488063509493,0.3194010739013486,0.5729106664657593,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,2,1.312385533243888,0.48755266450998574,1.7129931449890137,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,3,2.370189235313599,0.9496174745786353,5.565090656280518,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,4,3.094780791090017,1.5443772768497952,9.581082344055176,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,5,1.4285463843356532,0.9621128758452754,1.9649410247802734,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,1,0.7569086454700935,0.319867358418894,0.5683252215385437,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,2,1.30881364006691,0.48626665610405206,1.7385036945343018,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,3,2.359044534119772,0.956979288632537,5.537793159484863,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,4,3.0953323674156255,1.546634298771607,9.605119705200195,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,5,1.401763551037769,0.9701406085989462,2.0583102703094482,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,1,0.7538734802820636,0.31271690935603297,0.60965895652771,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,2,1.3185233358410322,0.4778277390934144,1.7152422666549683,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,3,2.3532515683476,0.949621296318823,5.565988063812256,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,4,3.0992127987798437,1.5468309496975592,9.482847213745117,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,5,1.434681301980715,0.9830812478983767,1.9997586011886597,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,1,0.7808065948129385,0.31586067018221387,0.6018102765083313,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,2,1.3096726480929712,0.4744031360788505,1.6367685794830322,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,3,2.359234765128613,0.94969341394749,5.264222145080566,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,4,3.0794233327620506,1.5444938456084314,8.852418899536133,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,5,1.4141282340925585,0.9874253139521221,1.8017048835754395,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,1,0.7757643095347849,0.30940305749660174,0.5945942401885986,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,2,1.2793625566435443,0.47129877487918376,1.623396873474121,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,3,2.294389290485291,0.9488772980766453,5.198132038116455,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,4,2.975301475543517,1.5338545271843205,8.826692581176758,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,5,1.34227600336535,0.9830429809960682,1.8199658393859863,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,1,0.771099394372331,0.30810146702417623,0.5488343834877014,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,2,1.27412595500934,0.4653890555040672,1.6050370931625366,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,3,2.279941190978619,0.9495731381359194,5.2193074226379395,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,4,2.9709751724706894,1.5352692731135769,8.838302612304688,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,5,1.3490611693804715,0.9879220597379257,1.919724464416504,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,1,0.7408335977930889,0.30143668270273616,0.5746919512748718,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,2,1.2669006319042388,0.46278943104172027,1.6542375087738037,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,3,2.2845803668639193,0.9527033720020043,5.218318462371826,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,4,2.9729283745216657,1.5411156417218446,8.709111213684082,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,18,baseline,18,18,0000000018.png,5,1.3855411840950846,1.0000608584857886,1.9248384237289429,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,1,0.7580844343975652,0.296637502240509,0.4557041525840759,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,2,1.2861716774007028,0.456518801910448,1.4567790031433105,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,3,2.284363900206821,0.9435817361101744,4.784483909606934,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,4,2.9511203194305926,1.537421442539838,8.303633689880371,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,19,baseline,19,19,0000000019.png,5,1.3873854946130282,1.0128295437646866,1.981529712677002,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,1,0.6750586402183503,0.2801586341073125,0.4252708852291107,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,2,1.2069709249680507,0.445797283200743,1.361653208732605,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,3,2.1873463213278197,0.925276665361337,4.597414493560791,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,4,2.8816027414319545,1.5287608482007835,8.138275146484375,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,20,baseline,20,20,0000000020.png,5,1.4076681895562506,1.0281598439680808,1.8815659284591675,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,1,0.6521279783159919,0.2771202740060979,0.46497514843940735,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,2,1.1668989194953272,0.44195931846801045,1.4191243648529053,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,3,2.1441582577308074,0.9258216042489119,4.6562628746032715,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,4,2.8527663927945195,1.5364496956611922,7.924089431762695,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,21,baseline,21,21,0000000021.png,5,1.3717018859026775,1.0402084670424776,2.026153564453125,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,1,0.681890859400131,0.2707933885254333,0.3947579562664032,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,2,1.1912700904513,0.43019715700823025,1.2976654767990112,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,3,2.1578375413593185,0.919465930742714,4.464080810546875,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,4,2.814976004043842,1.539352332270413,8.006734848022461,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,5,1.4234301949714603,1.0627159070544558,2.1421797275543213,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,1,0.6282976695709186,0.2684492636004707,0.40662527084350586,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,2,1.1391512608575551,0.4326450921175223,1.2539390325546265,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,3,2.112837154636742,0.9306244006548076,4.354163646697998,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,4,2.8296175026402977,1.563609709050034,8.109842300415039,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,5,1.4636187296238405,1.0903943297115408,2.1625282764434814,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,1,0.637671766577453,0.2657907083940451,0.39245590567588806,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,2,1.1197942051989107,0.4301280484255432,1.25586998462677,0.0
