drive,corruption,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_severity,instant_error_rms,simple_scalar_ema_error_rms,dynamic_error_state_rms,matched_tensor_ema_error_rms
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,5,40,48,0,0.5625,0.8561272450080769,0.8622279487058226,0.24349621611805572,0.24349621611805572
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,6,48,56,0,0.71875,0.8321027161413593,0.8155473206013358,0.24893015957362036,0.24893015957362036
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,7,56,64,0,0.53125,0.8823860194717977,0.8798860331263288,0.2742018203575668,0.2742018203575668
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,8,64,72,0,0.53125,0.6426795406596201,0.7304243473496315,0.2504595323754122,0.2504595323754122
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,9,72,80,0,0.75,0.6424136951018798,0.6625798246846586,0.2343340206520474,0.2343340206520474
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,0,0,8,0,0.71875,0.8250618345535866,0.8781760657865562,0.23036424517074702,0.23036424517074702
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,1,8,16,0,0.5,0.7853560578168975,0.8021030249953732,0.23287304673462283,0.23287304673462283
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,2,16,24,0,0.6875,0.709381742551029,0.7186706190756296,0.21896413779261148,0.21896413779261148
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,3,24,32,0,0.5,0.8382901656629737,0.8097526326326484,0.24032458589257388,0.24032458589257388
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,4,32,40,0,0.75,0.748326160256227,0.7975620760840455,0.23332647147062205,0.23332647147062205
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,5,40,48,0,0.5625,0.7837668435409795,0.7652226310015968,0.24246077775113578,0.24246077775113578
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,6,48,56,0,0.46875,0.9380362102077433,0.8590291682774532,0.26263705098960616,0.26263705098960616
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,7,56,64,0,0.78125,0.6894688421357302,0.7880086898735419,0.2576071029747512,0.2576071029747512
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,8,64,72,0,0.65625,0.6467582755072554,0.6726191286588148,0.24619238249458125,0.24619238249458125
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,3,9,72,80,0,0.625,0.7393785647746115,0.7137396726345238,0.2438899795199417,0.2438899795199417
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,0,0,8,1,0.25,0.878003071911393,0.8944128810993586,0.25963402226318316,0.25963402226318316
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,1,8,16,1,0.25,0.9599791254676227,0.9379280814718929,0.27465718684768636,0.27465718684768636
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,2,16,24,1,0.375,0.8730764955412068,0.8986871855025617,0.2595907552932857,0.2595907552932857
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,3,24,32,1,0.5,0.9054148964194957,0.8954817882590487,0.2654394225658878,0.2654394225658878
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,4,32,40,1,0.5,0.9577050377110307,0.9407730164741593,0.28827643764921135,0.28827643764921135
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,5,40,48,1,0.75,0.9008558892338105,0.9180747906326401,0.2901935169737716,0.2901935169737716
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,6,48,56,1,0.75,0.936700761627759,0.9225021588449931,0.30615627482643754,0.30615627482643754
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,7,56,64,1,0.875,0.9480060712055537,0.9507345914424682,0.31773838072796107,0.31773838072796107
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,8,64,72,1,1.0,0.8051418741806038,0.8613583900892962,0.27745883815415806,0.27745883815415806
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,0,9,72,80,1,1.0,0.7860292141139975,0.7948912611077498,0.2668438126285348,0.2668438126285348
2011_09_26/2011_09_26_drive_0011_sync,iid_gaussian_noise,persistent,1,0,0,8,1,0.5,0.9077481361819263,0.915381952947113,0.25781852416722084,0.25781852416722084
