drive,corruption,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,classification_included,classification_label,current_severity,future_severity,future_feature_stage,error_definition,dynamic_error_definition,temporal_error_state_update_index,dynamic_formula_max_abs,instant_error_rms,simple_scalar_ema_error_rms,matched_tensor_ema_error_rms,dynamic_error_state_rms,dynamic_minus_matched_tensor_ema_max_abs
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,24,24,24,25,0000000024.png,0000000025.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),25,0.0,0.8029114465258415,0.8749251862053172,0.24960236666396798,0.24960236666396798,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,25,25,25,26,0000000025.png,0000000026.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),26,0.0,0.8546620576129702,0.8707307185867014,0.2507910878043321,0.2507910878043321,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,26,26,26,27,0000000026.png,0000000027.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),27,0.0,0.8344558705203566,0.8632218250369681,0.25754770494422335,0.25754770494422335,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,27,27,27,28,0000000027.png,0000000028.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),28,0.0,0.8594570467536691,0.8624425159323252,0.2527788073058233,0.2527788073058233,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,28,28,28,29,0000000028.png,0000000029.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),29,0.0,0.8960116268131619,0.8693913218846585,0.262223127783868,0.262223127783868,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,29,29,29,30,0000000029.png,0000000030.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),30,0.0,0.8767279184963735,0.8709099973832835,0.2660167834106856,0.2660167834106856,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,30,30,30,31,0000000030.png,0000000031.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),31,0.0,0.8991422459913149,0.876754072845146,0.26011403460123494,0.26011403460123494,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,31,31,31,32,0000000031.png,0000000032.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),32,0.0,0.9206337735547252,0.8858371708920288,0.2619438057779657,0.2619438057779657,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,32,32,32,33,0000000032.png,0000000033.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),33,0.0,0.9586925179011776,0.9009182277229226,0.2647037518678897,0.2647037518678897,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,33,33,33,34,0000000033.png,0000000034.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),34,0.0,0.9502448669873034,0.9111288420506495,0.26961815856491667,0.26961815856491667,0.0
