split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,copy_mse,velocity_mse,oracle_translation_mse,copy_minus_velocity_mse,copy_minus_velocity_over_copy,copy_minus_oracle_mse,copy_minus_oracle_over_copy,adjacent_delta_cosine,oracle_shift_dy_cells,oracle_shift_dx_cells
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,93,93,94,95,0000000093.png,0000000094.png,0000000095.png,stage5,512,14,14,16,1,0.1035,0.15841014683246613,0.30475008487701416,0.11964549869298935,-0.14633993804454803,-0.9238040447235107,0.038764648139476776,0.24471063911914825,-0.04373759776353836,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,94,94,95,96,0000000094.png,0000000095.png,0000000096.png,stage5,512,14,14,16,1,0.1035,0.13497881591320038,0.31983712315559387,0.1339143067598343,-0.1848583072423935,-1.3695356845855713,0.0010645091533660889,0.007886490784585476,-0.09043610095977783,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,97,0000000095.png,0000000096.png,0000000097.png,stage5,512,14,14,16,1,0.1035,0.12026600539684296,0.2636771500110626,0.11491160094738007,-0.14341114461421967,-1.1924495697021484,0.005354404449462891,0.04452134668827057,-0.033091314136981964,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,92,92,93,95,0000000092.png,0000000093.png,0000000095.png,stage5,512,14,14,16,2,0.207,0.27929753065109253,0.9451352953910828,0.1644575148820877,-0.6658377647399902,-2.3839728832244873,0.11484001576900482,0.411174476146698,0.00920947827398777,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,93,93,94,96,0000000093.png,0000000094.png,0000000096.png,stage5,512,14,14,16,2,0.207,0.26694074273109436,0.9109551310539246,0.1795099824666977,-0.6440143585205078,-2.412574291229248,0.08743076026439667,0.327528715133667,-0.04373759776353836,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,94,94,95,97,0000000094.png,0000000095.png,0000000097.png,stage5,512,14,14,16,2,0.207,0.24681246280670166,0.9729212522506714,0.15978841483592987,-0.7261087894439697,-2.9419453144073486,0.08702404797077179,0.35259178280830383,-0.09043610095977783,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,98,0000000095.png,0000000096.png,0000000098.png,stage5,512,14,14,16,2,0.207,0.25842663645744324,0.8651386499404907,0.17159824073314667,-0.6067119836807251,-2.34771466255188,0.08682839572429657,0.3359885811805725,-0.033091314136981964,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,92,92,93,96,0000000092.png,0000000093.png,0000000096.png,stage5,512,14,14,16,3,0.3105,0.3457745313644409,1.9397544860839844,0.2455815076828003,-1.5939799547195435,-4.609882354736328,0.10019302368164062,0.28976404666900635,0.00920947827398777,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,93,93,94,97,0000000093.png,0000000094.png,0000000097.png,stage5,512,14,14,16,3,0.3105,0.35898855328559875,1.7712663412094116,0.2542359530925751,-1.4122778177261353,-3.934046983718872,0.10475260019302368,0.29179927706718445,-0.04373759776353836,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,94,94,95,98,0000000094.png,0000000095.png,0000000098.png,stage5,512,14,14,16,3,0.3105,0.36000707745552063,2.0515267848968506,0.2668158710002899,-1.6915197372436523,-4.698573589324951,0.09319120645523071,0.2588593661785126,-0.09043610095977783,0,-1
