condition,count,decoded_mIoU,mode,observation_cos_mean,observation_cos_z1,observation_cos_z4,observation_mse_mean,observation_mse_z1,observation_mse_z4,position_bin,semantic_cos_gain_vs_observation,semantic_cos_mean,semantic_cos_z1,semantic_cos_z4,semantic_mse_mean,semantic_mse_ratio_vs_observation,semantic_mse_z1,semantic_mse_z4
Blur-Mid,279,0.29736214436834385,continuous,0.9997363835039105,0.9997990026696181,0.9996737643382028,6.82212450171447e-05,8.31549539686411e-05,5.328753606564829e-05,0-31,-0.04205057174501459,0.9576858117588959,0.9807243001076483,0.9346473234101436,0.0067557532817632705,99.02711801969431,0.00542782990789328,0.008083676655633261
Blur-Mid,288,0.28340205911498284,continuous,0.9989207809170088,0.9990743740151325,0.9987671878188848,0.00029610466958729376,0.00038320709457669483,0.00020900224459789266,32-63,-0.0495731654680438,0.949347615448965,0.9754512988858752,0.9232439320120547,0.008324115897671113,28.11207236033508,0.006997847991038321,0.009650383804303905
Blur-Mid,554,0.29909113581887403,continuous,0.998749379431728,0.9989369637484155,0.9985617951150405,0.0003465158062766807,0.0004441931357608086,0.0002488384767925528,64-127,-0.05118661123707846,0.9475627681946496,0.9734853021935005,0.9216402341957988,0.008696036878973246,25.095642742570206,0.0076037391159508635,0.009788334641995628
Blur-Mid,1851,0.274115344414645,continuous,0.9987225974011846,0.9989091901763718,0.9985360046259975,0.00035479113033391296,0.00044950873302388887,0.00026007352764393705,128+,-0.051491200811215054,0.9472313965899696,0.9727463617252698,0.9217164314546693,0.008769062052741002,24.716125356594926,0.007831919122978377,0.009706204982503628
Blur-Mid,2972,0.29671749333668346,reset8,0.9988419649718908,0.999013906592957,0.9986700233508248,0.00032065949230359285,0.0004077010556642144,0.0002336179289429713,overall,-0.03332253807245644,0.9655194268994344,0.983611280712754,0.9474275730861148,0.005575970964365881,17.38907189152125,0.004641880509556393,0.006510061419175369
Blur-Mid,279,0.303083859291513,reset8,0.9997363835039105,0.9997990026696181,0.9996737643382028,6.82212450171447e-05,8.31549539686411e-05,5.328753606564829e-05,0-31,-0.03359795054654491,0.9661384329573656,0.9839439313044257,0.9483329346103053,0.005466286483551225,80.12586815408443,0.004516722699527138,0.0064158502675753125
Blur-Mid,288,0.2948709594034097,reset8,0.9989207809170088,0.9990743740151325,0.9987671878188848,0.00029610466958729376,0.00038320709457669483,0.00020900224459789266,32-63,-0.033430676596860165,0.9654901043201486,0.9835601788428094,0.9474200297974877,0.005628287730764391,19.007764175448546,0.00465660129136975,0.006599974170159031
Blur-Mid,554,0.3238649889743128,reset8,0.998749379431728,0.9989369637484155,0.9985617951150405,0.0003465158062766807,0.0004441931357608086,0.0002488384767925528,64-127,-0.03332659155668338,0.9654227878750447,0.9835959492177309,0.9472496265323583,0.0056075666924360265,16.182715451538684,0.004653296947802017,0.006561836437070036
Blur-Mid,1851,0.28509438614668076,reset8,0.9987225974011846,0.9989091901763718,0.9985360046259975,0.00035479113033391296,0.00044950873302388887,0.00026007352764393705,128+,-0.0332629866918186,0.965459610709366,0.983573680211247,0.9473455412074852,0.0055749070573284185,15.713208647808006,0.004655038120063059,0.0064947759945937775
Blur-Max,2972,0.2693498521390908,continuous,0.9984979557317166,0.9988017594429237,0.9981941520205097,0.0004078637387344094,0.00047679250022610476,0.00033893497724271404,overall,-0.050118420057470026,0.9483795356742466,0.973832983669009,0.9229260876794844,0.008573951575924513,21.021607859843737,0.00750767573614606,0.009640227415702966
Blur-Max,279,0.2916086583382413,continuous,0.9996748375422638,0.9997553853151192,0.9995942897694086,8.279940000869581e-05,9.706256724226432e-05,6.85362327751273e-05,0-31,-0.042009302578519314,0.9576655349637445,0.9807013553103239,0.9346297146171652,0.006763231124408463,81.68212720983692,0.005435069952841087,0.008091392295975839
Blur-Max,288,0.266505443756715,continuous,0.9986082494465841,0.9988755178120401,0.9983409810811281,0.0003703800328670089,0.00044765421969512117,0.00029310584603889665,32-63,-0.04936235977543724,0.9492458896711469,0.9753680458913246,0.9231237334509691,0.008365502861528916,22.58626847882129,0.007027251104268039,0.009703754618789794
Blur-Max,554,0.2810451271001028,continuous,0.9983815421158656,0.998708562945631,0.9980545212861003,0.00043582866999956557,0.0005192382855106327,0.0003524190544884985,64-127,-0.05094250805326317,0.9474390340626024,0.9734138938924466,0.9214641742327584,0.008745575996135976,20.06654586570611,0.007631910971570962,0.009859241020700992
Blur-Max,1851,0.25692233275301257,continuous,0.9983382466707533,0.9986744373634272,0.9980020559780794,0.0004543227802651435,0.0005258586866376587,0.0003827868738926284,128+,-0.05121169093169109,0.9471265557390622,0.9726843084276592,0.9215688030504652,0.008827946339253394,19.43100087145397,0.00785764493501022,0.009798247743496568
Blur-Max,2972,0.2794610687361852,reset8,0.9984979557317166,0.9988017594429237,0.9981941520205097,0.0004078637387344094,0.00047679250022610476,0.00033893497724271404,overall,-0.03312112495283093,0.9653768307788857,0.9834571890683386,0.9472964724894327,0.005624447915308845,13.790017060014604,0.004689862555542191,0.006559033275075498
Blur-Max,279,0.29738359878292875,reset8,0.9996748375422638,0.9997553853151192,0.9995942897694086,8.279940000869581e-05,9.706256724226432e-05,6.85362327751273e-05,0-31,-0.033570492246244976,0.9661043452960189,0.9839137585359662,0.9482949320560715,0.005474797072803675,66.12121672655476,0.004525829036469742,0.006423765109137608
Blur-Max,288,0.27741198104425263,reset8,0.9986082494465841,0.9988755178120401,0.9983409810811281,0.0003703800328670089,0.00044765421969512117,0.00029310584603889665,32-63,-0.03327967661122477,0.9653285728353593,0.983415337279439,0.9472418083912797,0.005671982004261938,15.313951889783858,0.004701752223708253,0.0066422117848156225
Blur-Max,554,0.3036253309873844,reset8,0.9983815421158656,0.998708562945631,0.9980545212861003,0.00043582866999956557,0.0005192382855106327,0.0003524190544884985,64-127,-0.0331386692472313,0.9652428728686343,0.9834290952673888,0.9470566504698799,0.005660070882209102,12.986917272364721,0.004705939427630082,0.006614202336788124
Blur-Max,1851,0.2680871241434761,reset8,0.9983382466707533,0.9986744373634272,0.9980020559780794,0.0004543227802651435,0.0005258586866376587,0.0003827868738926284,128+,-0.03302347185095211,0.9653147748198012,0.9834032908508676,0.9472262587887348,0.005628946912487509,12.389752741877585,0.0047079255162405685,0.006549968308734449
