condition,frame_index,mode,observation_cos_mean,observation_cos_z1,observation_cos_z4,observation_mse_mean,observation_mse_z1,observation_mse_z4,position_bin,semantic_cos_mean,semantic_cos_z1,semantic_cos_z4,semantic_mse_mean,semantic_mse_z1,semantic_mse_z4,sequence
Clean,6,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9625059962272644,0.9827063083648682,0.9423056840896606,0.006006189621984959,0.004894708748906851,0.0071176704950630665,0002
Clean,7,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9615525305271149,0.982454240322113,0.9406508207321167,0.006165466504171491,0.004955606535077095,0.007375326473265886,0002
Clean,7,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9615525305271149,0.982454240322113,0.9406508207321167,0.006165466504171491,0.004955606535077095,0.007375326473265886,0002
Clean,8,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9606245458126068,0.982151448726654,0.9390976428985596,0.006319242296740413,0.00503825256600976,0.0076002320274710655,0002
Clean,8,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9606245458126068,0.982151448726654,0.9390976428985596,0.006319242296740413,0.00503825256600976,0.0076002320274710655,0002
Clean,9,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9598376154899597,0.9818748235702515,0.937800407409668,0.0064529902301728725,0.005119469948112965,0.0077865105122327805,0002
Clean,9,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9730415046215057,0.9842838048934937,0.9617992043495178,0.004662384744733572,0.004463681019842625,0.004861088469624519,0002
Clean,10,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9589766561985016,0.9814330339431763,0.9365202784538269,0.006584154441952705,0.0052426038309931755,0.007925705052912235,0002
Clean,10,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.970166802406311,0.9844145774841309,0.9559190273284912,0.004988726694136858,0.00441833445802331,0.005559118930250406,0002
Clean,11,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9581408798694611,0.9811185002326965,0.9351632595062256,0.006715784780681133,0.005335911177098751,0.008095658384263515,0002
Clean,11,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9671069979667664,0.9837509393692017,0.950463056564331,0.005416910629719496,0.00460348604246974,0.006230335216969252,0002
Clean,12,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9572311639785767,0.9807717204093933,0.93369060754776,0.006885460345074534,0.005440093111246824,0.008330827578902245,0002
Clean,12,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9651158452033997,0.9833589792251587,0.9468727111816406,0.005715827690437436,0.004715543705970049,0.006716111674904823,0002
Clean,13,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9568714499473572,0.9803900718688965,0.9333528280258179,0.006942521082237363,0.005552470218390226,0.0083325719460845,0002
Clean,13,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9638552665710449,0.982930064201355,0.9447804689407349,0.005882950266823173,0.004837532993406057,0.006928367540240288,0002
Clean,14,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9559697210788727,0.9800726175308228,0.9318668246269226,0.00710682338103652,0.005645041354000568,0.008568605408072472,0002
Clean,14,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9622988402843475,0.9825526475906372,0.9420450329780579,0.00613037240691483,0.004943872336298227,0.007316872477531433,0002
Clean,15,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9556333422660828,0.9798346161842346,0.9314320683479309,0.007188031915575266,0.005713128484785557,0.008662935346364975,0002
Clean,15,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9613675177097321,0.9822589755058289,0.9404760599136353,0.006283577298745513,0.005025080405175686,0.00754207419231534,0002
Clean,16,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9554387927055359,0.9795407056808472,0.9313368797302246,0.00719362311065197,0.005789991468191147,0.008597254753112793,0002
Clean,16,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9606602787971497,0.9819034934043884,0.9394170641899109,0.006356509635224938,0.005117454100400209,0.007595565170049667,0002
