condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,next_frame_prediction_mse,representation_normalized_l2
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,2,0.5653516622832885,0.3605547037268586,2.0542755126953125,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,3,0.7375424609752972,0.7461883063339965,6.632598876953125,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,4,1.378396005760572,1.3545236239942378,10.853452682495117,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,5,0.718390921447499,0.6549800146760233,1.9736907482147217,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,1,0.8388578168423073,0.49497185201720606,0.954403817653656,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,2,0.5691817743123949,0.38662713293148876,1.9613748788833618,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,3,0.6576485647312178,0.7052667118384478,6.489110469818115,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,4,1.2039908116958296,1.2991026202613067,10.976702690124512,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,5,0.6567811938866205,0.6427066317649963,1.9311158657073975,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,1,0.7870520429025453,0.49048753861445726,0.9018010497093201,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,2,0.5706866611297183,0.408611874782563,1.907199740409851,0.0
